image,ground_truth,prediction,CER_score
test001.jpg,B9140BCD B2407UZO B2842PKM,B 2407 UZO,0.6667
test002.jpg,BG1352AE,BG 1352 AE,0.0
test003.jpg,B2634UZF B1995JVK,B 1995 JVK,0.5
test004.jpg,B9062VEH,9 8062 VEH,0.25
test005.jpg,DD8798KM,DD 3798 KM,0.125
test006.jpg,T1329KC,The license plate number on the white car is T-1329-KC.,5.5714
test007.jpg,AD8865EE,AD 8865 EE,0.0
test008.jpg,DK1157AAB AA1997FE,DK 1157 AAB,0.4706
test009.jpg,H8518NA K1649GB,K 1649 GB,0.5
test010.jpg,B9416PCN H1147UY,H 1147 UY,0.5333
test011.jpg,H1691IL B9374RI D1204AIG,The license plate number on the green ambulance is D 1204 AIG.,1.7273
test012.jpg,E1887BA,E 1887 BA,0.0
test013.jpg,B1439UZP B1128WOS,B 1439 UZP,0.5
test014.jpg,B1388DFX,B 1388 DFX,0.0
test015.jpg,AD1798BT,AD 1798 BT,0.0
test016.jpg,E1517DQ,E 1517 DO,0.1429
test017.jpg,AD8982FS,AD 8982 FS,0.0
test018.jpg,L7603UA,L 7603 UA,0.0
test019.jpg,AD7HS B1959WYK,AD 7 HS,0.6154
test020.jpg,AG8634EK AD1329PY,AD 1328 PY,0.5625
test021.jpg,BA1709DW W1236VZ,BA 1709 DW,0.4667
test022.jpg,W1825OZ L1202UE L3823IB,W 1825 OZ,0.6667
test023.jpg,B1730JLO,B 1730 JLO,0.0
test024.jpg,B2964TRU,B 2964 TRU,0.0
test025.jpg,S5585LP L2858RR W1185ZO 9840VU,The license plate number on the silver car is W 1185 Z0.,1.4444
test026.jpg,N9652DF L3836ZX,N 9652 DF,0.5
test027.jpg,N1905IG B1109CLR L1840AA,B 3109 CLR,0.6818
test028.jpg,L1438EO L1436AAA,L 1438 E0,0.6
test029.jpg,W1518WF G1986N L1588OO L1436AAA,L 1589 00,0.8571
test030.jpg,S8062NF G1894TE,The license plate number on the truck is S 8062 NF.,2.6429
test031.jpg,L1560JQ L1568Q0 L1932AAZ,L 1560 JQ,0.6818
test032.jpg,B2754SKY W1192K,The license plate number on the silver Toyota Avanza is W 1192 K.,3.1429
test033.jpg,L4561VK L2693GA W9847G L1762ABJ,L 3847 G,0.7857
test034.jpg,L1811SU W1167V0 S61310CF L2570AAD,L 1811 SU,0.7667
test035.jpg,L9643NN L5247GI L2498AAM W1696YO,W 1696 YO,0.7586
test036.jpg,B1231JJA B1618UAE,B 1231 JJA,0.5
test037.jpg,L1775V0 L300RX L1879VG,L 30Q RX,0.75
test038.jpg,D1523YCN L1877ACU,The license plate number on the black car is D 1523 YCN.,2.5625
test039.jpg,L1069VK,L 1069 VK,0.0
test040.jpg,S1595LL,S 1595 LL,0.0
test041.jpg,B1231JJA,B 1231 JJA,0.0
test042.jpg,AD1174SF,AD 1174 SF,0.0
test043.jpg,W1898YW W1470PG,The license plate number on the gray car is W 1898 YW.,2.8571
test044.jpg,L1930KF N1004HE,L 1930 KF,0.5
test045.jpg,S1347LJ,S 1347 LJ,0.0
test046.jpg,L1470ABK L1265MX,L 1470 ABK,0.4667
test047.jpg,N1524SY L1678ACE,L 1678 ACE,0.4667
test048.jpg,L9316BC W1838AY,W 1838 AY,0.5
test049.jpg,N1376DE N79AP,N 1376 DE,0.4167
test050.jpg,L1265OF N1095G,N 1095 G,0.5385
test051.jpg,N1718HC,N 1718 HC,0.0
test052.jpg,N6497KS N5235ABX N4980KJ,N 5235 ABX,0.6364
test053.jpg,N1365AAO,1365 AA0,0.25
test054.jpg,N1077AAK N1084AAO,N 1077 AAK,0.5
test055.jpg,N1610KS,N 1610 KS,0.0
test056.jpg,N924CIA N1623HB L1430HF,The license plate number on the silver car is N 1623 HB.,1.8095
test057.jpg,N1342T N4145AB N1396AAH,N 1342 T,0.7143
